id,artista,cancion,año,spotify_id,
1,The Beatles,Hey Jude,2006,1eT2CjXwFXNx6oY5ydvzKU,
2,Bob Dylan,Like a Rolling Stone,1965,3AhXZa8sUQht0UEdBJgpGc,
3,Aretha Franklin,Respect,1967,7s25THrKz86DM225dOYwnr,
4,The Beach Boys,Good Vibrations,2011,6aU6a9tdn2vHhnPGlboFZX,
5,Ritchie Valens,La Bamba - Single Version,1959,2aEeghgUcnu75tzcolFMfs,
6,Los Panchos,Bésame Mucho,1960,5lqY7EmoAu9rwV4hHxhEzB,
7,Los Panchos,El Reloj,2008,7dm1tAFkxFfMPAm82Z5Rnz,
8,Eydie GorméLos Panchos,Sabor a Mí,1964,0Hja9zlVQHC768PsPjWscW,
9,Queen,Bohemian Rhapsody,2018,3z8h0TU7ReDPLIbEnYhWZb,
10,Eagles,Hotel California - 2013 Remaster,1976,40riOy7x9W7GXjyGp4pjAv,
11,Led Zeppelin,Stairway to Heaven - Remaster,1971,5CQ30WqJwcep0pYcV4AMNc,
12,John Lennon,Imagine - Remastered 2010,1971,7pKfPomDEeI4TPT6EOYjn9,
13,Bee Gees,Stayin Alive,2020,5ubvP9oKmxLUVq506fgLhk,
14,ABBA,Dancing Queen,1976,0GjEhVFGZW8afUYGChu3Rr,
15,Queen,We Will Rock You - Remastered 2011,1977,54flyrjcdnQdco7300avMJ,
16,Fleetwood Mac,Go Your Own Way,1988,15rjQH7nTcTomKwfVMd4xl,
17,Queen,Don't Stop Me Now - ...Revisited,2018,3INsYP1Y8GG4qJvBsKCdXC,
18,Vicente Fernández,El Rey,2002,32r25QdtfHgAxjohp2EoPH,
19,Antonio AguilarFlor Silvestre,Cielito Lindo - En Vivo,2009,3sZ8igVfXIAv1xVxLD9qKv,
20,Rocío Dúrcal,Amor Eterno,1984,2TC4v9YiuQYk3Tk8RH7fV4,
21,LA INDIA,Que Ganas De No Verte Nunca Más,1994,4QV3YgLi5bHnXMivdZX0Xh,
22,Nino Bravo,Libre,1976,1uAjXdRxH2PBCKGSWPagGJ,
23,Mocedades,Eres Tú,1994,08HeIb9BidFjKROf9ptln0,
24,Julio Iglesias,Gwendolyne,1970,7B4uAyj4X3qs8YXdV4wwhS,
25,Julio Iglesias,Me Olvide De Vivir,1978,0kVOor973ijVqOBhYqvaE8,
26,Paloma San Basilio,No llores por mí argentina,2003,7zTmsaAoSj58kmHdG8xXpy,
27,Duo Dinamico,Resistiré,1988,2oI6d7XcMz1AMTQhDopV5J,
28,Jarabe De Palo,La chica de Ipanema,2017,1QgfZsvA8tpsMVs1EylzYU,
29,Carlos Gardel,Volver,1931,71bkiosdVssjMrVDbdeG7n,
30,ABBA,Fernando,1976,4BM8yJ0PzBi2ZewpMTOxtx,
31,Michael Jackson,Billie Jean,1982,7J1uxwnxfQLu4APicE5Rnj,
32,Madonna,Like a Virgin,1984,1ZPlNanZsJSPK5h9YZZFbZ,
33,Guns N' Roses,Sweet Child O' Mine,1987,7snQQk1zcKl8gZ92AnueZW,
34,a-ha,Take on Me,1985,2WfaOiMkCvy7F5fcp2zZ8L,
35,The Police,Every Breath You Take,1983,1JSTJqkT5qHq8MDJnJbRE1,
36,Simple Minds,Don't You (Forget About Me),2025,5Y8Rj0s6wuM5DlQdllYiWl,
37,TOTO,Africa,1982,2374M0fQpWi3dLnB54qaLX,
38,Bon Jovi,Livin' On A Prayer,1986,37ZJ0p5Jm13JPevGcx4SkF,
39,Journey,Don't Stop Believin',2001,77NNZQSqzLNqh2A9JhLRkg,
40,U2,With Or Without You,1987,6ADSaE87h8Y3lccZlBJdXH,
41,Cyndi Lauper,Girls Just Want to Have Fun,1983,4y1LsJpmMti1PfRQV9AWWe,
42,Wham!,Wake Me Up Before You Go-Go,1984,0ikz6tENMONtK6qGkOrU3c,
43,Luis Miguel,La Incondicional,1988,6F9yAYUaNbUhdlQyt5uZ3b,
44,Emmanuel,La Chica de Humo,1989,0GZ8UVlhn2tjHPpngzoLJk,
45,Mecano,Me Colé en una Fiesta,1982,7b55CJjPfvHBkNCqEv52lT,
46,Antonio Machín,Bésame Mucho,1988,3khRyfMzSuZU26KyQk6Utr,
47,Mecano,No Es Serio Este Cementerio,1986,7a5MYTqTgUEzVJmbrejLtn,
48,Mecano,Hijo de la Luna,1986,7g3g2sqevicvurLTZ75JTA,
49,Coro Flamenco del Pilar,Rocio de Amor,1990,6uveGSO0gFcJ9sUOZSpTJA,
50,Camilo Sesto,Perdóname,1982,3ZFYnK3yePXgrGxBTXsPww,
51,Alaska Y Dinarama,A quién le importa,1986,7Eb5AYiiGWItBNddlmxvnh,
52,Gipsy Kings,Bamboléo,1987,3iB8eciGU9vZkaDYkz7Ir9,
53,Melendi,Caminando por la vida,2005,3v1dCP3hk2djfWryqfp7sx,
54,Camilo Sesto,Si Me Dejas Ahora,1979,10ZWwpLU1351dTBh1YChwd,
55,Américo,Entre el Odio y el Amor,2008,1TmHJBYmcbLzUCpJbYCfRp,
56,Juan Luis Guerra 4.40,Burbujas de Amor,1990,0UoAcG1vxtFjes7rZz8Js0,
57,Juan Luis Guerra 4.40,Ojalá Que Llueva Café,1989,2HQqhVP8NOaoIhPTQ8I5bm,
58,Julio Jaramillo,Nuestro Juramento,1955,0X2tvdSAB6hnZ78UzuwxXQ,
59,José Luis Perales,¿Y Cómo Es Él?,1982,7aSxNjoVoAwNL7HDAKwGtC,
60,Rocío Dúrcal,Me Gustas Mucho,1991,68bMnPTzSizzaMNn6EaEph,
61,Nirvana,Smells Like Teen Spirit,1991,4CeeEOM32jQcH3eN9Q2dGj,
62,Britney Spears,...Baby One More Time,1999,3MjUtNVVq3C8Fn0MP3zhXa,
63,Oasis,Wonderwall - Remastered,1995,5qqabIl2vWzo9ApSC317sa,
64,Radiohead,Creep,1993,70LcF31zb1H0PyJoS1Sx1r,
65,Whitney Houston,I Will Always Love You,1992,4eHbdreAnSOrDDsFfc4Fpm,
66,FugeesMs. Lauryn Hill,Killing Me Softly With His Song,1996,0Q0IVlqMV64kNLlwjPj0Hl,
67,TLC,Waterfalls,1994,6qspW4YKycviDFjHBOaqUY,
"68,Céline Dion,""My Heart Will Go On - Love Theme from """"Titanic"""""",1997,33LC84JgLvK2KuW43MfaNq",,,,,
69,Destiny's Child,Say My Name,1999,7H6ev70Weq6DdpZyyTmUXk,
70,SantanaRob Thomas,Smooth (feat. Rob Thomas),1999,0n2SEXB2qoRQg171q7XqeW,
71,Aqua,Barbie Girl,1997,5ZrDlcxIDZyjOzHdYW1ydr,
72,Backstreet Boys,Shape of My Heart,2000,35o9a4iAfLl5jRmqMX9c1D,
73,Los Del Rio,Macarena,2002,6mhw2fEPH4fMF0wolNm96e,
74,Ricky Martin,Livin' la Vida Loca,1999,0Ph6L4l8dYUuXFmb71Ajnd,
75,Jennifer LopezMarc Anthony,No Me Ames (with Marc Anthony) - Ballad Version,1999,1if4Ro7Rr0ceUfjS8IOvEy,
76,Mecano,Un Año Mas,1988,1seCZJ3pEVjghbzZ2mV4Xl,
77,Juan Luis Guerra 4.40,Bachata Rosa,1990,3H9GcHKKJyZ9TEOLKlJ1U5,
78,Soda Stereo,De Música Ligera,2006,4it4NYn9wNqGV54joA6oN0,
"79,Vicente Fernández,""Volver, Volver"",1972,4Fvnz1ZJ86IdqDAepWYPAh",,,,,
80,Enrique Iglesias,Por Amarte,1995,3nTP1d8K9jHFHiozzXGVDF,
81,Enrique Iglesias,Hero,2001,1PAgmT6YqGhd6zT9kN9gIo,
82,Pandora,El Amor de Mi Vida,2004,3Axge1xRRTnXBToTNTMx4J,
83,Lalo Rodriguez,Ven Devórame Otra Vez,2017,5mg6sU732O35VMfCYk3lmX,
84,Hades66,YO QUIERO,2026,47sQ0h1xhlDWJ3nHbwYPrg,
85,Thalia,Piel Morena,1995,2Lv1EpgTXrZ2gzJfoNGVnw,
86,Rels B,TU VAS SIN (fav),2025,6uiQ0DqbXTBc8tl0AUKZkR,
87,Laura Pausini,Entre tú y mil mares,2000,3reCcj2BzaDnnrlnZ0aq2X,
88,Alejandro Sanz,Corazón partío,1997,0wQCKR9OFjYu5Kzrk7WivJ,
89,Alejandro Sanz,Eso es amor,2025,1AbqkH3Q5f1WgjrN0u049x,
90,Alejandro Sanz,No Me Compares,2012,6pZmdSXGVzlYG2FJvSOZod,
91,Amaral,Te necesito,2002,4vcFY3PrJmxAQAnqkm0EQR,
92,rusowsky,esa carita,2020,2jjxJaMwEhzJ0c1DqGxDOc,
93,AventuraJudy Santos,Obsesion,2002,65H6t1WQBim6q93yM8fEwn,
94,Francis Cabrel,La Quiero a Morir,1998,0AzP1kDLhmQGBQXTEt25Cw,
95,Marc Anthony,Vivir Mi Vida,2013,3QHMxEOAGD51PDlbFPHLyJ,
96,Ricky MartinChambaoTommy Torres,Tu Recuerdo (feat. Chambao & Tommy Torres) - MTV Unplugged Version,2006,61hJK3EfAd1LDk7x5OrCTc,
97,KAROL G,Si Antes Te Hubiera Conocido,2024,6WatFBLVB0x077xWeoVc2k,
98,Chayanne,Torero,2002,709CndJJB3GTUhQD0LLFse,
99,Luis Miguel Del Amargue,Tarde,2021,6znPtCnANuntld6fHH7mK9,
100,Enrique IglesiasJuan Luis Guerra 4.40,Cuando Me Enamoro,2010,4PHX6bpHDxiR9RGzAKWcyk,
101,BeyoncéJAŸ-Z,Crazy In Love (feat. JAY-Z),2003,5IVuqXILoxVWvWEPm82Jxr,
102,50 Cent,In Da Club,2003,7iL6o9tox1zgHpKUfh9vuC,
103,RihannaJAŸ-Z,Umbrella,2008,49FYlytm3dAAraYgpoJZux,
104,Christina Aguilera,Beautiful,2002,3TCauNPqFiniaYHBvEVoHG,
105,Outkast,Hey Ya!,2003,2PpruBYCo4H7WOBJ7Q2EwM,
106,Britney Spears,Toxic,2003,6I9VzXrHxO9rA9A5euc8Ak,
107,Green Day,Boulevard of Broken Dreams,2004,1hwJKpe0BPUsq6UUrwBWTw,
108,TimbalandOneRepublic,Apologize,2007,6ucR4KfvsBFWCMVFDvyKKl,
109,Beyoncé,Single Ladies (Put a Ring on It),2008,5R9a4t5t5O0IsznsrKPVro,
110,Lady Gaga,Poker Face,2008,1QV6tiMFM6fSOKOGLMHYYg,
111,ShakiraWyclef Jean,Hips Don't Lie (feat. Wyclef Jean),2005,3d0WouFnFmr0K3kjeza3fF,
112,ShakiraAlejandro Sanz,La Tortura (feat. Alejandro Sanz),2005,53AafWSzYsiJKnAtJTUB5f,
113,Daddy Yankee,Gasolina,2004,5YoITs1m0q8UOQ4AW7N5ga,
114,Don Omar,Pobre Diabla,2025,6pEpQPOjFsHVrkC4yy501I,
115,Shakira,Ojos Así,1998,4EDfdYJ7mqXRoWAqzF1PVO,
"116,Shakira,""Te Aviso, Te Anuncio (Tango)"",2001,1w5nWhUzrQqj0WnDXrgsnC",,,,,
"117,Shakira,""Suerte (Whenever, Wherever)"",2001,3TY1PFZXmYeiLcXygB74My",,,,,
118,Enrique Iglesias,Quizás,2002,1iC6iDolyChCB8wTBujAff,
119,Marc Anthony,Te Lo Pido Por Favor,2010,1gSiP9COBhhmwL4NezlhFT,
120,Marc Anthony,Ahora Quien - Salsa Version,2004,5A32KQZznC2HSqr9qzTl2N,
121,Marc Anthony,Valió la Pena - Salsa Version,2004,2AMDKSt4HJWZbuLupJuNrj,
122,Juan Gabriel,Hasta Que Te Conocí,1986,6XLobzCdi98lFcxG3eGYNr,
123,Juan Gabriel,No Tengo Dinero,2011,43v9RFeBdQbqNNKCovmXFk,
124,Paulina Rubio,Amor Secreto,2004,4eEXE0Bl58lRCjUsHqWqml,
125,Vicente FernándezAlejandro Fernández,El Rey,2026,16yhVOnRqwCfMBzD52pkeF,
126,Patricia Manterola,Que El Ritmo No Pare,2002,3UaQ7rPrZt60bUyegxsedg,
"127,""Baby RanksDaddy YankeeTonny Tun TunWisin & Yandel""Héctor """"""""El Father""""""""""""",Mayor Que Yo,2007,"7pMWE6h8thBOq9YnFzBEpy""",,
128,Shakira,Loba,2009,0FpB2Hw5qx9SeMMQuw1G5P,
129,Adele,Rolling in the Deep,2011,4OSBTYWVwsQhGLF9NHvIbR,
130,Ed Sheeran,Shape of You,2017,7qiZfU4dY1lWllzX7mPBI3,
131,The Weeknd,Blinding Lights,2020,0VjIjW4GlUZAMYd2vXMi3b,
132,R. Kelly,Happy People,2011,41uWkGOCpz0CA5vJ1nIKI6,
133,Mark RonsonBruno Mars,Uptown Funk (feat. Bruno Mars),2015,32OlwWuMpZ6b0aN2RZOeMS,
134,Justin Bieber,Sorry,2015,09CtPGIpYB4BrO8qb1RGsF,
135,Major LazerDJ SnakeMØ,Lean On,2015,01aTsQoKoeXofSTvKuunzv,
136,Camila CabelloDaddy Yankee,Havana - Remix,2017,3whrwq4DtvucphBPUogRuJ,
137,Lil Nas X,Old Town Road,2019,0F7FA14euOIX8KcbEturGH,
138,Billie Eilish,bad guy,2019,2Fxmhks0bxGSBdJ92vM42m,
139,Luis FonsiDaddy Yankee,Despacito,2019,6habFhsOp2NvshLv26DqMb,
140,KAROL GNicki Minaj,Tusa,2019,7k4t7uLgtOxPwTpFmtJNTY,
141,J BalvinWilly William,Mi Gente,2017,4ipnJyDU3Lq15qBAYNqlqK,
142,Daddy YankeeSnow,Con Calma,2019,5w9c2J52mkdntKOmRLeM2m,
143,Maluma,Hawái,2020,1yoMvmasuxZfqHEipJhRbp,
144,Nicky JamEnrique Iglesias,El Perdón (with Enrique Iglesias),2017,7qCAVkHWZkF44OzOUKf8Cr,
145,Daddy Yankee,Dura,2018,6KuqAtoeVzxAYOaMveLNpH,
146,Luis FonsiDemi Lovato,Échame La Culpa,2019,0mlAOSILGRys2IbvyOT5VJ,
147,ShakiraMaluma,Chantaje (feat. Maluma),2017,6mICuAdrwEjh6Y6lroV2Kg,
148,OzunaManuel Turizo,Vaina Loca,2018,48zFZh27QU5qsrBjn4C2FA,
149,"DJ SnakeSelena GomezOzuna""Cardi B",Taki Taki (with Selena Gomez,"Ozuna & Cardi B)""""",2018,"4w8niZpiMy6qz1mntFA5uM"""
150,Bad BunnyDrake,MIA (feat. Drake),2018,3Ueq2zboxwAbsvHrOjdEqz,
151,Bad Bunny,Caro,2018,6it15CsDlkqB7N4lF0C1qM,
152,ReikOzunaWisin,Me Niego (feat. Ozuna & Wisin),2019,4ggiDYAkJ7Yk8d5xOr7Xjo,
153,Maluma,Borro Cassette,2015,6DUdDIRgLqCGq1DwkNWQTN,
154,NATTI NATASHAOzuna,Criminal,2017,6Za3190Sbw39BBC77WSS1C,
155,Wisin & Yandel,Lento,2005,0rz1ULgbOEAsqfe9A97tmI,
156,MalumaNego do Borel,Corazón (feat. Nego do Borel),2018,5cepAtqnEQ6yVG6088zMMu,
157,Enrique Iglesias,Si Tú Te Vas,1995,7A1V7IEbwn2nuFGreV8DNv,
158,Nicky Jam,El Amante,2017,3umS4y3uQDkqekNjVpiRUs,
159,Nicky Jam,Travesuras,2014,7AJ4RXkc0JWZqeQqzymSjv,
160,CNCO,Reggaetón Lento (Bailemos),2016,3AEZUABDXNtecAOSC1qTfo,
161,Romeo Santos,Eres Mía,2014,6I86RF3odBlcuZA9Vfjzeq,
162,Romeo Santos,Propuesta Indecente,2014,5PycBIeabfvX3n9ILG7Vrv,
163,Romeo SantosUSHER,Promise (feat. Usher),2012,0jr6tT2vc4cIFPHb6wufG3,
164,AventuraJudy Santos,Obsesion,2002,65H6t1WQBim6q93yM8fEwn,
165,Ricky MartinMaluma,Vente Pa' Ca (feat. Maluma),2016,7DM4BPaS7uofFul3ywMe46,
166,J BalvinBad Bunny,QUE PRETENDES,2019,25ZAibhr3bdlMCLmubZDVt,
167,"DJ SnakeSelena GomezOzuna""Cardi B",Taki Taki (feat. Selena Gomez,"Ozuna & Cardi B)""""",2019,"0KoiMHhqKLoL4xM54rcWYY"""
168,Dua Lipa,Levitating,2020,39LLxExYz6ewLAcYrzQQyP,
169,Olivia Rodrigo,drivers license,2021,5wANPM4fQCJwkGd4rN57mH,
170,Harry Styles,As It Was,2022,4Dvkj6JhhA12EX05fT7y2e,
171,Miley Cyrus,Flowers,2023,7DSAEUvxU8FajXtRloy8M0,
172,Sabrina Carpenter,Espresso,2024,2qSkIjg1o9h3YT9RAgYN75,
173,BTS,Butter,2021,1mWdTewIgB3gtBM3TOSFhB,
174,Glass Animals,Heat Waves,2020,3USxtqRwSYz57Ewm6wWRMp,
175,The Kid LAROIJustin Bieber,STAY (with Justin Bieber),2021,5HCyWlXZPP0y6Gqq8TgA20,
176,Taylor Swift,Anti-Hero,2022,0V3wPSX9ygBnCm8psDIegu,
177,Sam SmithKim Petras,Unholy (feat. Kim Petras),2022,3nqQXoyQOWXiESFLlDF1hG,
178,"Bizarrap""Shakira",Shakira: Bzrp Music Sessions,"Vol. 53/66""""",2023,"4nrPB8O7Y7wsOCJdgXkthe"""
179,"Bizarrap""Quevedo",Quevedo: Bzrp Music Sessions,"Vol. 52/66""""",2022,"2tTmW7RDtMQtBk7m2rYeSw"""
180,Eslabon ArmadoPeso Pluma,Ella Baila Sola,2023,3dnP0JxCgygwQH9Gm7q7nb,
181,ROSALÍAThe Weeknd,LA FAMA,2022,6Y46tOTRhkBamosyuWa6YX,
182,KAROL G,PROVENZA,2023,3HqcNJdZ2seoGxhn0wVNDK,
183,KAROL GCarla Morrison,MAÑANA SERÁ BONITO,2023,4bycD60yZgR6anIBtmU8UH,
184,KAROL GShakira,TQG,2023,2oMjKuKUEJFuLiVmTq7Vjx,
185,Bad Bunny,Un Verano Sin Ti,2022,18HOjcvTVV7W8YzBuOsAPS,
186,Bad Bunny,Tití Me Preguntó,2022,1IHWl5LamUGEuP4ozKQSXZ,
187,Bad BunnyBomba Estéreo,Ojitos Lindos,2022,3k3NWokhRRkEPhCzPmV8TW,
188,Bad BunnyChencho Corleone,Me Porto Bonito,2022,6Sq7ltF9Qa7SNFBsV5Cogx,
189,MalumaThe Weeknd,Hawái - Remix,2020,0GzuHFG4Ql6DoyxFRnIk3F,
190,Rauw Alejandro,Todo De Ti,2021,3rdAz1fbUfZxYgaCviYhRo,
191,Rauw AlejandroLyannoBrray,LOKERA,2023,1aUq8rjW1EwkAkMri4VfJy,
192,ArcángelBad Bunny,La Jumpa,2022,5MxFWjuqQIsbNWbMdMdbli,
193,Farruko,Pepas,2021,5fwSHlTEWpluwOM0Sxnh5k,
194,Christina AguileraBecky GNicki NicoleNATHY PELUSO,Pa Mis Muchachas (feat. NATHY PELUSO),2021,1kGhjFgl6A68ZAYvtw2UDK,
195,"Bizarrap""Nicky Jam",Nicky Jam: Bzrp Music Sessions,"Vol. 41/66""""",2021,"03LfOYi0icz4souspZVVhq"""
196,Yng LvcasPeso Pluma,La Bebe - Remix,2023,2UW7JaomAMuX9pZrjVpHAU,
197,Zara Larsson,Lush Life,2017,1rIKgCH4H52lrvDcz50hS8,
198,Rihanna,Diamonds,2012,6O20JhBJPePEkBdrB5sqRx,
199,Rihanna,Where Have You Been,2011,5WQQIDU3HRaMyPkob8mpFb,
200,RihannaCalvin Harris,We Found Love,2012,1VMNFLpA6vDoBumvAGnJmf,
201,Justin Bieber,What Do You Mean?,2015,4B0JvthVoAAuygILe3n4Bs,